,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.06826372146606445,0.0012940406799316407,0.5284615384615384,0.5307692307692309,10.0,"(7,)",2,"{'NN__alpha': 10.0, 'pca__n_components': 2, 'NN__hidden_layer_sizes': (7,)}",207,0.49230769230769234,0.5326923076923077,0.5384615384615384,0.5192307692307693,0.5403846153846154,0.5326923076923077,0.5384615384615384,0.5254807692307693,0.5326923076923077,0.54375,0.007802478996540957,0.000429307184231368,0.01826011918533724,0.008209759310052495
1,0.07595386505126953,0.001547098159790039,0.5503846153846154,0.5517307692307692,10.0,"(7,)",5,"{'NN__alpha': 10.0, 'pca__n_components': 5, 'NN__hidden_layer_sizes': (7,)}",168,0.551923076923077,0.5514423076923077,0.5461538461538461,0.5591346153846154,0.5807692307692308,0.56875,0.5634615384615385,0.5673076923076923,0.5096153846153846,0.5120192307692307,0.013102118349876414,0.0005502436142280389,0.023565344126216012,0.02080481282507466
2,0.10401535034179688,0.001358175277709961,0.5326923076923077,0.5317307692307692,10.0,"(7,)",10,"{'NN__alpha': 10.0, 'pca__n_components': 10, 'NN__hidden_layer_sizes': (7,)}",196,0.49230769230769234,0.5211538461538462,0.5903846153846154,0.6091346153846153,0.5115384615384615,0.4778846153846154,0.5211538461538462,0.4932692307692308,0.5480769230769231,0.5572115384615385,0.04887018936976611,0.00033053231234082196,0.03399007860813185,0.04718303620291344
3,0.13064899444580078,0.0021766185760498046,0.5169230769230769,0.5199999999999999,10.0,"(7,)",15,"{'NN__alpha': 10.0, 'pca__n_components': 15, 'NN__hidden_layer_sizes': (7,)}",221,0.5269230769230769,0.5139423076923076,0.5,0.49903846153846154,0.5,0.5153846153846153,0.5211538461538462,0.5254807692307693,0.5365384615384615,0.5461538461538461,0.05859535567796353,0.0012838360016810542,0.014665904588413553,0.015565641688778258
4,0.1179722785949707,0.001522970199584961,0.5084615384615384,0.5150961538461539,10.0,"(7,)",20,"{'NN__alpha': 10.0, 'pca__n_components': 20, 'NN__hidden_layer_sizes': (7,)}",246,0.4980769230769231,0.5153846153846153,0.5288461538461539,0.5274038461538462,0.49423076923076925,0.5096153846153846,0.5230769230769231,0.4966346153846154,0.4980769230769231,0.5264423076923077,0.024693343466389576,0.0002444315551537019,0.014472990555559062,0.011411966884182613
5,0.09624581336975098,0.002135038375854492,0.51,0.5118269230769231,10.0,"(7,)",25,"{'NN__alpha': 10.0, 'pca__n_components': 25, 'NN__hidden_layer_sizes': (7,)}",239,0.5192307692307693,0.5149038461538461,0.5615384615384615,0.5456730769230769,0.4826923076923077,0.5048076923076923,0.4826923076923077,0.5014423076923077,0.5038461538461538,0.49230769230769234,0.00939090982181102,0.0004662252240524996,0.029225708063865957,0.01840184660787826
6,0.11168861389160156,0.0025861263275146484,0.5423076923076923,0.5316346153846154,10.0,"(7,)",30,"{'NN__alpha': 10.0, 'pca__n_components': 30, 'NN__hidden_layer_sizes': (7,)}",187,0.5576923076923077,0.5514423076923077,0.551923076923077,0.5427884615384615,0.5365384615384615,0.5317307692307692,0.5442307692307692,0.5038461538461538,0.5211538461538462,0.5283653846153846,0.016549215980457527,0.00023117294601525686,0.012756249193674614,0.016122336484759612
7,0.11434478759765625,0.002550363540649414,0.53,0.5394230769230769,10.0,"(7,)",35,"{'NN__alpha': 10.0, 'pca__n_components': 35, 'NN__hidden_layer_sizes': (7,)}",206,0.49230769230769234,0.5076923076923077,0.6173076923076923,0.6149038461538462,0.5365384615384615,0.541826923076923,0.49038461538461536,0.49567307692307694,0.5134615384615384,0.5370192307692307,0.02855282040932184,7.841253244538248e-05,0.046752527381608455,0.041544693264742485
8,0.11130256652832031,0.002918052673339844,0.5196153846153846,0.5295192307692307,10.0,"(7,)",40,"{'NN__alpha': 10.0, 'pca__n_components': 40, 'NN__hidden_layer_sizes': (7,)}",216,0.5057692307692307,0.5158653846153847,0.5,0.5134615384615384,0.5019230769230769,0.5173076923076924,0.5634615384615385,0.5471153846153847,0.5269230769230769,0.5538461538461539,0.010098309507944239,0.0005560264854872656,0.0239390251070699,0.0172905898407608
9,0.11027760505676269,0.0027970314025878907,0.5253846153846153,0.525,10.0,"(7,)",45,"{'NN__alpha': 10.0, 'pca__n_components': 45, 'NN__hidden_layer_sizes': (7,)}",209,0.5076923076923077,0.5139423076923076,0.5903846153846154,0.5879807692307693,0.5307692307692308,0.510576923076923,0.48846153846153845,0.5014423076923077,0.5096153846153846,0.5110576923076923,0.020969022082841432,0.0003844949629413448,0.035153930314661096,0.03176862543658726
10,0.09516916275024415,0.0026198387145996093,0.5080769230769231,0.535,10.0,"(7,)",50,"{'NN__alpha': 10.0, 'pca__n_components': 50, 'NN__hidden_layer_sizes': (7,)}",247,0.5423076923076923,0.5721153846153846,0.4634615384615385,0.5192307692307693,0.5269230769230769,0.5355769230769231,0.4826923076923077,0.5144230769230769,0.525,0.5336538461538461,0.011987677753395466,0.00020427575854515713,0.02982691687744814,0.020257221665021058
11,0.12293295860290528,0.0036414623260498046,0.5080769230769231,0.5236538461538461,10.0,"(7,)",55,"{'NN__alpha': 10.0, 'pca__n_components': 55, 'NN__hidden_layer_sizes': (7,)}",247,0.5,0.5110576923076923,0.5038461538461538,0.4894230769230769,0.5057692307692307,0.5254807692307693,0.5403846153846154,0.6028846153846154,0.49038461538461536,0.4894230769230769,0.03716003907801407,0.002252588766674862,0.017001566234846412,0.04191182806035721
12,0.19144458770751954,0.003090190887451172,0.5546153846153846,0.5720192307692307,10.0,"(7,)",60,"{'NN__alpha': 10.0, 'pca__n_components': 60, 'NN__hidden_layer_sizes': (7,)}",157,0.5903846153846154,0.6182692307692308,0.5288461538461539,0.5394230769230769,0.5326923076923077,0.5403846153846154,0.5903846153846154,0.6326923076923077,0.5307692307692308,0.5293269230769231,0.09376635736781387,0.0018188794947024158,0.029230769230769237,0.04405945082613482
13,0.07422413825988769,0.0022525787353515625,0.5553846153846154,0.5525961538461538,10.0,"(15,)",2,"{'NN__alpha': 10.0, 'pca__n_components': 2, 'NN__hidden_layer_sizes': (15,)}",152,0.5365384615384615,0.5567307692307693,0.5769230769230769,0.5427884615384615,0.5538461538461539,0.5538461538461539,0.5576923076923077,0.5572115384615385,0.551923076923077,0.5524038461538462,0.018530976700433438,0.001002652886484475,0.012951890954217476,0.005218948748119989
