,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.7900536537170411,0.1062767505645752,0.6080769230769231,0.6068269230769231,10.0,"(7,)",2,"{'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0, 'filter__n': 2}",174,0.5865384615384616,0.5841346153846154,0.6615384615384615,0.6269230769230769,0.6365384615384615,0.6216346153846154,0.6,0.60625,0.5557692307692308,0.5951923076923077,0.09428501964434105,0.001663393831316881,0.03723823828449116,0.015960959210990767
1,0.8038380146026611,0.1055689811706543,0.5911538461538461,0.5990384615384616,10.0,"(7,)",5,"{'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0, 'filter__n': 5}",206,0.5903846153846154,0.614423076923077,0.5846153846153846,0.5846153846153846,0.6173076923076923,0.6139423076923077,0.5615384615384615,0.5884615384615385,0.6019230769230769,0.59375,0.10392559603790882,0.0014909789265392327,0.01854947007967307,0.012701773859252802
2,0.660057544708252,0.10573558807373047,0.5842307692307692,0.58875,10.0,"(7,)",10,"{'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0, 'filter__n': 10}",213,0.47692307692307695,0.47692307692307695,0.6269230769230769,0.6423076923076924,0.6576923076923077,0.6394230769230769,0.5884615384615385,0.6134615384615385,0.5711538461538461,0.5716346153846154,0.02532242442779818,0.0018013154472600128,0.061519227763483696,0.06139225419985525
3,0.7325197696685791,0.10527081489562988,0.5461538461538461,0.5446153846153846,10.0,"(7,)",15,"{'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0, 'filter__n': 15}",238,0.5538461538461539,0.5451923076923076,0.6365384615384615,0.6105769230769231,0.5346153846153846,0.5432692307692307,0.5076923076923077,0.4947115384615385,0.4980769230769231,0.5293269230769231,0.11515691407171022,0.0008009362562526051,0.049299831366659504,0.037622334972159784
4,0.7251693725585937,0.1058161735534668,0.49,0.49730769230769234,10.0,"(7,)",20,"{'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0, 'filter__n': 20}",260,0.47692307692307695,0.4831730769230769,0.4442307692307692,0.4798076923076923,0.5153846153846153,0.4966346153846154,0.49423076923076925,0.49615384615384617,0.5192307692307693,0.5307692307692308,0.14567164162946075,0.002237167775994764,0.027504706428894042,0.01804159805435842
5,0.6798525810241699,0.105167818069458,0.5342307692307692,0.5400961538461538,10.0,"(7,)",25,"{'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0, 'filter__n': 25}",247,0.6057692307692307,0.6480769230769231,0.5538461538461539,0.5346153846153846,0.4846153846153846,0.5014423076923077,0.5211538461538462,0.5052884615384615,0.5057692307692307,0.5110576923076923,0.05251443692687641,0.0019225531702391383,0.04229720149652774,0.05520654466604932
6,0.6888726234436036,0.10657377243041992,0.61,0.6174999999999999,10.0,"(7,)",30,"{'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0, 'filter__n': 30}",172,0.5826923076923077,0.6038461538461538,0.6153846153846154,0.6173076923076923,0.6403846153846153,0.6519230769230769,0.551923076923077,0.5567307692307693,0.6596153846153846,0.6576923076923077,0.044669341659712446,0.0009288387417240285,0.03881377172782417,0.0365506052694361
7,0.6380058288574219,0.10659704208374024,0.5461538461538461,0.5485576923076924,10.0,"(7,)",35,"{'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0, 'filter__n': 35}",238,0.6057692307692307,0.6288461538461538,0.5230769230769231,0.4966346153846154,0.5692307692307692,0.5721153846153846,0.5134615384615384,0.5216346153846154,0.5192307692307693,0.5235576923076923,0.019038327173254987,0.0017010663853164203,0.03581262875995315,0.04700438258554748
8,0.7493762016296387,0.10748624801635742,0.5915384615384616,0.6120192307692308,10.0,"(7,)",40,"{'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0, 'filter__n': 40}",205,0.5769230769230769,0.6009615384615384,0.5384615384615384,0.5596153846153846,0.5961538461538461,0.6389423076923076,0.6288461538461538,0.6235576923076923,0.6173076923076923,0.6370192307692307,0.03726282260497193,0.0011659710004816878,0.03196244097587191,0.029500589202821163
9,0.7227063655853272,0.10724167823791504,0.5253846153846153,0.5334615384615384,10.0,"(7,)",45,"{'NN__hidden_layer_sizes': (7,), 'NN__alpha': 10.0, 'filter__n': 45}",252,0.5076923076923077,0.47644230769230766,0.5576923076923077,0.5759615384615384,0.4634615384615385,0.49759615384615385,0.5019230769230769,0.5,0.5961538461538461,0.6173076923076923,0.08350224324466952,0.0007832512616894497,0.04636809247747852,0.05383980044935193
